epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.421,1.65514,2.32964,1.66456,0.8832,0.88571,0.87984,0.38926,1.92294,2.28279,1.86571,0.00166391,0.00166391,0.00166391
2,257.244,1.50766,1.93093,1.57807,0.61103,0.808,0.73335,0.35045,1.74354,1.99537,1.68002,0.000841835,0.000841835,0.000841835
